"","x"
"1","On shift in an East London hospital.

On one floor there is hope. Hope of the vaccine rollout.

On another floor th… https://t.co/3q9rJfF3BE"
"2","As @Transition46 winds down:

<U+2705> Most diverse cabinet in history named
<U+2705> 250+ WH staff announced (majority female)
<U+2705>… https://t.co/LxABsOqA5d"
"3","#Norway upped the number of deaths under investigation, from 23 last week to 33, while in #Germany, health official… https://t.co/gUqm1rOOd1"
"4","RT @maryjpitzl: Arizona requires appointments for COVID-19 vaccine site. But some 'tagalongs' in line are getting the shot early https://t.…"
"5","Got my second vaccine today #COVID-19#pandemic#frontlineworker#healthcare#nurse#myshot#doingmypart#vaccine#wearyour… https://t.co/F61OCoOqVu"
"6","RT @doctor_oxford: If this doesn't cause @CMO_England @uksciencechief @NHSEngland @DHSCgovuk @MattHancock &amp; @BorisJohnson to pause for thou…"
"7","RT @pbhushan1: Covaxin was approved w/o phase 3 trials, despite experts cautioning against such hasty approval. Now Vaccine maker says that…"
"8","RT @taslimanasreen: Bangladesh is buying 30 million doses of Covishield vaccine from India and getting a gift of 2 million doses from govt.…"
"9","RT @CNN: A new study suggests someone might be able to get infected with one of the new variants of the coronavirus even if they've had Cov…"
"10","RT @cnni: A new study suggests someone might be able to get infected with one of the new variants of the coronavirus even if they've had Co…"
"11","RT @SnarksAndRecTag: <U+0001F489>  While we anxiously await our turn to get a COVID vaccine . . . 

Wouldn't it be nice if there was a shot in the arm…"
"12","RT @HegKong: Would you support the introduction of Vaccine Passports as a requirement for International travel allowing only those who have…"
"13","RT @taslimanasreen: Bangladesh is buying 30 million doses of Covishield vaccine from India and getting a gift of 2 million doses from govt.…"
"14","RT @DrOlufunmilayo: Just incase you thought this is all a joke though. It is not.

Nigeria is releasing money to produce local vaccine- aft…"
"15","RT @RonaldNHughes: Rapid test pilot done at 5 Vancouver LTC homes. BCCPA: the program has “already identified multiple asymptomatic COVID-1…"
"16","RT @RonaldKlain: As @Transition46 winds down:

<U+2705> Most diverse cabinet in history named
<U+2705> 250+ WH staff announced (majority female)
<U+2705> Americ…"
"17","#UN provides technical assistance to #India in mammoth #Covid vaccine rollout 
https://t.co/HhhcqWzlZS"
"18","A new study suggests someone might be able to get infected with one of the new variants of the coronavirus even if… https://t.co/KRhLl1UNKD"
